,CSC11,CSC13,CSC5,CSC7,Noncertified1,Noncertified10,Noncertified15,Noncertified2,Noncertified4,Noncertified6,Noncertified8,PSC12,PSC14,PSC3,TCSC9
F-6,83.74968025621219,93.45533243414587,80.00221260998906,99.81775549610141,22.6748703316743,18.95646173575551,52.34946534446367,53.48979648235273,39.82751338747312,40.46971088727735,71.41402064944708,50.06585230017266,53.05378750829989,39.60897887776247,59.79758274161198
F-7,86.21572257543471,95.92139225743955,82.46825492921158,100.1513477091024,25.14097368605308,19.29005394875652,54.8155076636862,51.17932510113145,42.29361674185189,42.93575320649988,71.74761286244811,50.39944451317367,55.51982982752241,41.42217762556777,62.26362506083451
F-8,89.89916587242911,99.6048180503628,86.15169822620598,96.71289056062813,28.82441698304749,15.85162118095226,58.49877771016389,47.06014130051403,45.97706003884629,46.61919650349427,68.30915571397381,46.96098736469938,59.20327312451681,49.1787898215674,65.9470683578289
F-9,91.9306865629379,101.6363562449428,88.18321891671476,104.9512871419236,30.85593767355629,24.08999338157763,60.53029840067268,43.25643026904207,48.00858072935512,48.65071719400307,76.54755229526921,55.19938394599478,61.2347938150256,45.37504086460701,67.97858904833768
G-10,98.6761114271858,104.5192386867788,94.92864378096269,93.0047314506939,37.60135441091423,13.91915264597191,62.48510267663892,42.10292736020752,54.75399746671305,55.39613393136101,61.19894339851549,43.25282825476516,67.9802186792735,44.22157588126088,74.72401391258559
G-11,106.7388640330421,107.5291499434317,102.991396386819,96.0146427073468,45.73629842591433,16.92906390262482,65.49501393329183,38.4643391515398,62.88894148171315,60.68880415715949,64.20885465516838,46.26273951141806,74.7269448933335,42.59194071538538,82.78674755569773
G-12,105.3084079990052,106.0986939093947,101.560940352782,94.58418667330986,47.77773741199012,15.49860786858786,64.06455789925486,36.54110220416921,64.93038046778895,59.2583481231225,62.7112511621385,44.83228347738112,73.29648885929655,43.52404522619136,81.35629152166078
G-13,109.9220305366716,110.7123164470612,106.1745628904485,99.1978092109763,48.29852546052934,20.11223040625431,68.67818043692131,34.35509663625789,65.45116851632817,63.87197066078898,58.59359414466481,49.44590601504756,77.91011139696298,44.04483327473058,85.96991405932721
G-14,119.9056964093781,119.8300715446419,116.158228763155,91.98881897667906,59.30977906192845,30.09589627896082,77.79593553450206,37.78643929331866,76.46242211772727,73.85563653349548,62.02493680172559,53.24415733618557,87.8937772696695,54.91783405822679,95.95357993203375
G-15,118.1734373156268,116.3138116531406,114.4259696694037,82.079679516442,62.30508924396155,29.00487253677203,74.27967564300072,30.93441684764267,79.45773229976038,72.1233774397442,57.96413032727635,48.33106936891966,86.16151817591822,52.27664202631068,94.22132083828247
G-16,120.3187218505265,118.4590961880402,116.5712542043034,77.25036698791,63.18062741599392,31.15015707167167,76.42496017790036,26.16388752237395,80.33327047179274,74.268679478715,54.89381045585814,47.20618321711407,88.30680271081786,50.8998265689356,96.36660537318211
G-3,74.77228665964026,84.53204993467267,71.02481901341713,91.52691010606337,18.99118387886686,26.33043522929828,46.30649765487575,61.40893686312643,36.14382693466569,30.54493512565418,63.12317525940907,41.77500691013464,44.07639391172796,45.27810135743806,50.82018914504005
G-4,78.06030462269835,87.82007602462079,74.31284510336522,93.73959685368942,21.34707748480761,24.55607347709202,46.40059589477831,59.08947028357581,38.49972054060643,33.83296121560227,65.33586200703512,43.98769365776069,47.36441187478606,43.59669377566308,54.10820710809815
G-5,82.16615053488526,90.09965746756745,78.41868288866212,95.40452241633871,21.87379972904591,20.16732791208829,48.0655214574276,55.16016337149155,39.02644278484474,36.65346861383755,67.0007875696844,45.65261922040996,50.69892691343416,42.97022362938248,58.21405302028506
G-6,84.59218899195649,93.35694432237165,80.84472134573336,97.05315766377801,23.51744010257485,16.19188828410213,51.32280831223179,51.502955697813,40.67008315837367,39.91075546864174,68.64942281712369,47.30125446784926,53.89629624404419,43.41205577812004,60.64009147735629
G-7,86.75972636799708,96.46537854593078,83.01225872177396,96.61335557952496,25.68497747861545,15.7520861998491,54.46546461675243,50.51864595905241,42.83762053441426,43.05341177316238,68.20962073287065,46.86145238359622,56.06383362008478,46.22754649129197,62.80762885339687
G-8,90.882706430574,100.5883586085077,87.13523878435089,93.37464521890313,29.80795754119241,12.51340945499917,59.4823182683088,47.14361638701109,46.96060059699121,47.60273706163918,64.97091037224882,43.6227420229744,60.18681368266171,49.26226490806445,66.93060891597379
G-9,94.6512794132924,104.0882004778695,90.90381176706929,94.68606559359478,33.57652239702082,12.27174306831946,62.05406446772965,44.86928331879707,50.72916545281964,51.37130191746758,66.28233074694046,44.93416239766604,63.9553866653801,46.98789391436201,70.69918189869219
H-10,97.28049596577225,100.1366518581377,93.53302831954912,90.73451697386294,36.20573894950066,9.873342245115243,58.10251584799785,47.34664635521408,53.35838200529948,53.18790787399642,58.92872892168455,40.98261377793423,66.58460321785995,49.10696078083158,73.32839845117203
H-11,102.7745429300755,103.564828840465,99.02707528385233,92.05032160438012,46.9061690001241,12.96486486997065,61.53069283032517,41.70911980796203,64.05881205592293,56.7244830541928,60.24453355220172,42.2984184084514,70.76262379036685,45.03660901706579,78.8224264527311
H-12,104.321223979562,105.1115098899515,100.5737563333388,93.59700265386665,48.45285004961062,14.51142384914468,63.07737387981168,40.61115744843575,65.60549310540945,58.27116410367931,61.79121460168825,43.84509945793792,72.30930483985337,44.7387590122813,80.36910750221762
H-13,108.4985840876491,109.1949781778413,104.751116441426,97.09870441816935,52.57449608898762,18.68878395723182,67.16084216770146,38.06318701502928,69.72713914478645,62.44852421176649,62.30168452343619,47.34680122224061,76.48666494794048,48.11338474536846,84.54646761030472
H-14,108.9455519306892,109.5951230515282,105.198084284466,97.49884929185622,52.77119248831509,19.1357518002719,67.56098704138833,35.23225278715364,69.92383554411391,62.89549205480657,59.47075029556056,47.74694609592748,76.93363279098057,48.37924748461343,84.9934354533448
H-15,115.6395101453935,113.7798844829073,111.8920424991704,77.46131201242258,59.77113621544218,26.47094536653874,71.74574847276743,32.57440525530996,76.923779271241,69.58945026951089,55.10475548037073,45.79714219868638,83.62759100568493,55.76568345799456,91.68739366804917
H-16,118.6771677834421,116.8175421209558,114.9297001372189,76.39811624104223,62.80881971177677,29.50860300458726,74.78340611081595,30.13293300992113,79.9614627675756,72.62710790755943,54.04155970899036,45.58631066663813,86.66524864373346,58.00379134909042,94.7250513060977
H-17,113.7974613673532,111.937835704867,110.0499937211301,71.49672830834493,57.92911329568796,24.62889658849844,69.90369969472712,24.13239619152681,75.08175635148679,67.74740149147058,49.14017177629308,40.68492273394086,81.78554222764461,50.88043398076724,89.84534489000886
H-18,116.1403097474079,114.2806840849216,112.3928421011848,69.89358329127049,60.27196167574261,26.97174496855309,72.24654807478177,19.57601695060139,77.42460473154144,70.09026737559643,47.53702675921866,43.01588115954922,84.12839060769926,51.62800006547175,92.18819327006351
H-3,75.25918870638142,82.10837746204842,71.51172918704829,90.77974876290196,22.81795488414368,25.5832738861369,45.55925356519892,66.4484034556315,39.97059793994251,28.36590764378037,62.37601391624769,41.02784556697326,44.56329595846913,50.89563437556892,51.30709119178122
H-4,78.83960159761422,86.24166701952453,75.09214207828109,91.7557862560855,23.05854831698854,25.56643348579891,45.33749768994048,63.5105371088062,40.21119137278736,32.49919720125645,63.3520514094312,42.00388306015677,47.05019075318097,47.37946731744486,54.88750408301402
H-5,80.56137042072484,87.95011127896902,76.8139027745017,92.74604021186425,24.46999881904023,24.40746059522343,45.91597526882916,60.77924566238588,41.62264187483904,34.27502430050565,64.34230536520995,42.99413701593552,48.54946347135118,45.56623961390805,56.60926613371542
