,CSC12,CSC14,CSC6,CSC8,Noncertified1,Noncertified11,Noncertified2,Noncertified5,Noncertified7,Noncertified9,PSC13,PSC15,PSC4,TCSC10
E-7,51.72073236264175,59.41374764114394,46.82966289323139,73.06890071191619,29.03488337278462,90.10964038905624,48.89550484037489,86.36217274283311,101.4726355585705,66.15754287445603,99.81530194417107,58.70924409990101,46.18752642858344,20.61134179822461
E-8,56.2872563930142,62.322666262045,49.7385896410225,77.63542474228863,31.94381012057572,93.0185590099573,46.04202732342902,89.27109136373419,106.039159588943,69.06646149535709,102.7242286919622,61.61817084769211,49.09645317637454,25.17786582859706
E-9,57.35251627190265,66.03040388619074,53.44631913827821,77.57016778990916,35.65153961783145,96.72629663410304,44.26438529496574,92.97882898787992,107.1044194678314,72.77419911950282,106.4319581892179,65.32590034494783,52.80418267363027,28.01881628243937
F-10,46.3735929817168,65.53965329073904,52.95556854282651,67.72176133099123,35.16078902237975,96.23554603865134,40.90356588669592,92.48807839242822,96.12549617764554,72.28344852405112,105.9412075937662,64.83514974949614,52.31343207817856,17.03991737292356
F-11,50.65485226773681,69.8745383975547,57.2904536496422,70.87225964511833,39.49567412919542,100.570431145467,37.56643922468649,96.82296349924388,100.4067554636656,76.61833363086677,110.2760927005818,69.17003485631182,56.64831718499424,21.32115227827354
F-12,45.54385779964509,73.00809052329889,59.96992244538652,65.35729551061331,42.29357419444659,105.0200096630075,33.70488714526793,101.2725420167844,95.29576099557383,81.06789318566311,106.8102682316587,64.77613222151885,59.44621725024541,16.21018219085184
F-13,48.05262252421813,76.51682790613356,62.47868716995956,61.63852700513377,46.09938777097612,108.5287470458422,33.2939700080858,104.781279399619,97.80452572014687,84.57663056849779,109.3190329562317,67.28489694609189,63.25203082677494,18.71894691542489
F-14,51.3752373801324,80.38164504629793,66.34350431012393,60.15601684567242,50.34536626200761,112.3935641860065,34.34565345867989,108.6460965397834,101.5542981820959,88.44144770866217,113.1838500963961,71.14971408625627,67.49800931780644,22.58376405558926
F-15,49.48280508570038,85.0236732434474,72.10391057675584,57.17043232444443,54.3091569145951,117.035592383156,26.27730672526848,113.2881247369329,83.65845079171363,93.08347590581162,126.7412539382709,83.98349178342545,71.46179997039393,32.02566133818799
F-16,50.24688571394967,89.91654786649238,75.87842463438952,57.93451295269372,60.30226479675209,121.928467006201,29.20462104915283,118.1809993599779,87.89839512764723,97.97635052885663,120.0688413437147,78.03470533357488,77.45490785255092,32.75990222734618
F-3,45.49825110564784,42.92677173967374,30.34269511865118,66.84644383559231,16.60845889655898,73.62266448758604,62.15844372789022,69.8751968413629,95.25017868224661,49.67056697298583,83.32831447751079,50.02980288554521,33.76110195235781,27.62504692140643
F-4,47.85199238806662,46.80283161524551,34.21876312111295,69.20017699112108,18.37596576146262,77.49872436315779,60.44036285322648,73.75126484382467,97.60391183777539,53.5466268485576,87.20438247997257,52.20207938430501,35.52860881726144,25.90696604674269
F-5,47.01018392174404,47.92925938881621,35.34519089468365,68.3583766516885,17.55022826876812,78.6251521367285,55.58186351909267,74.87769261739537,96.76211149834282,54.6730546221283,88.33081244155218,49.12056692437756,34.70287132456695,21.04846671260887
F-6,50.06585230017266,53.05378750829989,40.46971088727735,71.41402064944708,22.6748703316743,83.74968025621219,53.48979648235273,80.00221260998906,99.81775549610141,59.79758274161198,93.45533243414587,52.34946534446367,39.82751338747312,18.95646173575551
F-7,50.39944451317367,55.51982982752241,42.93575320649988,71.74761286244811,25.14097368605308,86.21572257543471,51.17932510113145,82.46825492921158,100.1513477091024,62.26362506083451,95.92139225743955,54.8155076636862,42.29361674185189,19.29005394875652
F-8,46.96098736469938,59.20327312451681,46.61919650349427,68.30915571397381,28.82441698304749,89.89916587242911,47.06014130051403,86.15169822620598,96.71289056062813,65.9470683578289,99.6048180503628,58.49877771016389,45.97706003884629,15.85162118095226
F-9,55.19938394599478,61.2347938150256,48.65071719400307,76.54755229526921,30.85593767355629,91.9306865629379,43.25643026904207,88.18321891671476,104.9512871419236,67.97858904833768,101.6363562449428,60.53029840067268,48.00858072935512,24.08999338157763
G-10,43.25282825476516,67.9802186792735,55.39613393136101,61.19894339851549,37.60135441091423,98.6761114271858,42.10292736020752,94.92864378096269,93.0047314506939,74.72401391258559,104.5192386867788,62.48510267663892,54.75399746671305,13.91915264597191
G-11,46.26273951141806,74.7269448933335,60.68880415715949,64.20885465516838,45.73629842591433,106.7388640330421,38.4643391515398,102.991396386819,96.0146427073468,82.78674755569773,107.5291499434317,65.49501393329183,62.88894148171315,16.92906390262482
G-12,44.83228347738112,73.29648885929655,59.2583481231225,62.7112511621385,47.77773741199012,105.3084079990052,36.54110220416921,101.560940352782,94.58418667330986,81.35629152166078,106.0986939093947,64.06455789925486,64.93038046778895,15.49860786858786
G-13,49.44590601504756,77.91011139696298,63.87197066078898,58.59359414466481,48.29852546052934,109.9220305366716,34.35509663625789,106.1745628904485,99.1978092109763,85.96991405932721,110.7123164470612,68.67818043692131,65.45116851632817,20.11223040625431
G-14,53.24415733618557,87.8937772696695,73.85563653349548,62.02493680172559,59.30977906192845,119.9056964093781,37.78643929331866,116.158228763155,91.98881897667906,95.95357993203375,119.8300715446419,77.79593553450206,76.46242211772727,30.09589627896082
G-15,48.33106936891966,86.16151817591822,72.1233774397442,57.96413032727635,62.30508924396155,118.1734373156268,30.93441684764267,114.4259696694037,82.079679516442,94.22132083828247,116.3138116531406,74.27967564300072,79.45773229976038,29.00487253677203
G-16,47.20618321711407,88.30680271081786,74.268679478715,54.89381045585814,63.18062741599392,120.3187218505265,26.16388752237395,116.5712542043034,77.25036698791,96.36660537318211,118.4590961880402,76.42496017790036,80.33327047179274,31.15015707167167
G-3,41.77500691013464,44.07639391172796,30.54493512565418,63.12317525940907,18.99118387886686,74.77228665964026,61.40893686312643,71.02481901341713,91.52691010606337,50.82018914504005,84.53204993467267,46.30649765487575,36.14382693466569,26.33043522929828
G-4,43.98769365776069,47.36441187478606,33.83296121560227,65.33586200703512,21.34707748480761,78.06030462269835,59.08947028357581,74.31284510336522,93.73959685368942,54.10820710809815,87.82007602462079,46.40059589477831,38.49972054060643,24.55607347709202
G-5,45.65261922040996,50.69892691343416,36.65346861383755,67.0007875696844,21.87379972904591,82.16615053488526,55.16016337149155,78.41868288866212,95.40452241633871,58.21405302028506,90.09965746756745,48.0655214574276,39.02644278484474,20.16732791208829
G-6,47.30125446784926,53.89629624404419,39.91075546864174,68.64942281712369,23.51744010257485,84.59218899195649,51.502955697813,80.84472134573336,97.05315766377801,60.64009147735629,93.35694432237165,51.32280831223179,40.67008315837367,16.19188828410213
G-7,46.86145238359622,56.06383362008478,43.05341177316238,68.20962073287065,25.68497747861545,86.75972636799708,50.51864595905241,83.01225872177396,96.61335557952496,62.80762885339687,96.46537854593078,54.46546461675243,42.83762053441426,15.7520861998491
G-8,43.6227420229744,60.18681368266171,47.60273706163918,64.97091037224882,29.80795754119241,90.882706430574,47.14361638701109,87.13523878435089,93.37464521890313,66.93060891597379,100.5883586085077,59.4823182683088,46.96060059699121,12.51340945499917
G-9,44.93416239766604,63.9553866653801,51.37130191746758,66.28233074694046,33.57652239702082,94.6512794132924,44.86928331879707,90.90381176706929,94.68606559359478,70.69918189869219,104.0882004778695,62.05406446772965,50.72916545281964,12.27174306831946
H-10,40.98261377793423,66.58460321785995,53.18790787399642,58.92872892168455,36.20573894950066,97.28049596577225,47.34664635521408,93.53302831954912,90.73451697386294,73.32839845117203,100.1366518581377,58.10251584799785,53.35838200529948,9.873342245115243
H-11,42.2984184084514,70.76262379036685,56.7244830541928,60.24453355220172,46.9061690001241,102.7745429300755,41.70911980796203,99.02707528385233,92.05032160438012,78.8224264527311,103.564828840465,61.53069283032517,64.05881205592293,12.96486486997065
H-12,43.84509945793792,72.30930483985337,58.27116410367931,61.79121460168825,48.45285004961062,104.321223979562,40.61115744843575,100.5737563333388,93.59700265386665,80.36910750221762,105.1115098899515,63.07737387981168,65.60549310540945,14.51142384914468
H-13,47.34680122224061,76.48666494794048,62.44852421176649,62.30168452343619,52.57449608898762,108.4985840876491,38.06318701502928,104.751116441426,97.09870441816935,84.54646761030472,109.1949781778413,67.16084216770146,69.72713914478645,18.68878395723182
H-14,47.74694609592748,76.93363279098057,62.89549205480657,59.47075029556056,52.77119248831509,108.9455519306892,35.23225278715364,105.198084284466,97.49884929185622,84.9934354533448,109.5951230515282,67.56098704138833,69.92383554411391,19.1357518002719
H-15,45.79714219868638,83.62759100568493,69.58945026951089,55.10475548037073,59.77113621544218,115.6395101453935,32.57440525530996,111.8920424991704,77.46131201242258,91.68739366804917,113.7798844829073,71.74574847276743,76.923779271241,26.47094536653874
H-16,45.58631066663813,86.66524864373346,72.62710790755943,54.04155970899036,62.80881971177677,118.6771677834421,30.13293300992113,114.9297001372189,76.39811624104223,94.7250513060977,116.8175421209558,74.78340611081595,79.9614627675756,29.50860300458726
H-17,40.68492273394086,81.78554222764461,67.74740149147058,49.14017177629308,57.92911329568796,113.7974613673532,24.13239619152681,110.0499937211301,71.49672830834493,89.84534489000886,111.937835704867,69.90369969472712,75.08175635148679,24.62889658849844
H-18,43.01588115954922,84.12839060769926,70.09026737559643,47.53702675921866,60.27196167574261,116.1403097474079,19.57601695060139,112.3928421011848,69.89358329127049,92.18819327006351,114.2806840849216,72.24654807478177,77.42460473154144,26.97174496855309
H-3,41.02784556697326,44.56329595846913,28.36590764378037,62.37601391624769,22.81795488414368,75.25918870638142,66.4484034556315,71.51172918704829,90.77974876290196,51.30709119178122,82.10837746204842,45.55925356519892,39.97059793994251,25.5832738861369
H-4,42.00388306015677,47.05019075318097,32.49919720125645,63.3520514094312,23.05854831698854,78.83960159761422,63.5105371088062,75.09214207828109,91.7557862560855,54.88750408301402,86.24166701952453,45.33749768994048,40.21119137278736,25.56643348579891
H-5,42.99413701593552,48.54946347135118,34.27502430050565,64.34230536520995,24.46999881904023,80.56137042072484,60.77924566238588,76.8139027745017,92.74604021186425,56.60926613371542,87.95011127896902,45.91597526882916,41.62264187483904,24.40746059522343
H-6,42.92940575544758,51.89763481429992,36.8315329948419,64.277574104722,25.31557546959896,83.90954989056357,56.96186050394564,80.16208224434044,92.68130895137631,59.95743747666417,90.2777218485718,48.24358583843195,42.46821852539779,18.16658972822098
H-7,42.90083569782714,55.72109029593476,39.85211232360476,64.24900404710158,25.72495010859631,86.79970712486794,53.47726606222525,83.05223947864482,92.65273889375588,62.84760961026773,93.29830117733468,51.26416516719483,42.87759316439514,13.93675459239556
H-8,43.12293541449156,59.1178745451673,46.53379792414476,61.06904243135187,28.73901840369798,89.8137672930796,51.91367430758688,86.06629964685646,92.87483048353027,65.86166977847938,99.5194194710133,58.41337913081438,45.89166145949678,12.01366388167259
